lat,lon,direction,filename,filename_idx,gps_frame_pos
31.7956,35.1686,1,JET_58-425-73_D_CL_MX_3.9_1_26619_5.mat,22
2156,31.7956,35.1686,1,JET_58-425-73_D_CL_UR_3.9_22811_14.mat,62
1976,31.7956,35.1686,1,JET_58-425-73_D_OC_MX_3.9_23641_2.mat,71
1361,31.7956,35.1686,1,JET_58-425-73_N_CL_MX_3.9_27624_10.mat,95
775,31.7956,35.1686,1,JET_58-425-73_ddL_MX_3.9_23706_0.mat,107
1006,31.7956,35.1686,1,JET_58_425_73_D_CL_MX_3.9_26354_0.mat,121
548,31.7956,35.1686,1,JET_58_425_73_D_OC_MX_3.9_26349_1.mat,132
444,31.7956,35.1686,1,JET_58_425_73_D_RN_MX_3.9_26171_1.mat,138
1010,31.7956,35.1686,1,JET_58_425_73_N_RN_MX_3.9_26356_3.mat,151
1944,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_1_25155_2.mat,166
967,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_23378_0.mat,189
2189,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_23537_0.mat,201
574,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_23702_2.mat,217
698,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_23702_8.mat,221
3516,31.7956,35.1686,1,JET_83-108-70_D_CL_MX_3.9_26434_3.mat,257
1003,31.7956,35.1686,1,JET_83-108-70_D_OC_MX_3.9_23501_0.mat,275
700,31.7956,35.1686,1,JET_83-108-70_D_OC_MX_3.9_23560_0.mat,276
2313,31.7956,35.1686,1,JET_83-108-70_D_OC_MX_3.9_26340_0.mat,279
1400,31.7956,35.1686,1,JET_83-108-70_D_RN_MX_3.9_26258_4.mat,294
389,31.7956,35.1686,1,JET_83-108-70_N_CL_MX_3.9_26435_3.mat,309
746,31.7956,35.1686,1,JET_83-108-70_U_CL_MX_3.9_23205_0.mat,318
1032,31.7956,35.1686,1,JET_83-108-70_U_OC_MX_3.9_23451_0.mat,320
246,31.7592,35.1932,1,JET-58-425-73_D_CL_UR_3.9_22257_20.mat,6
3437,31.7592,35.1932,1,JET_58-425-73_D_CL_MX_3.9_23716_1.mat,34
466,31.7592,35.1932,1,JET_58-425-73_D_CL_MX_3.9_27622_0.mat,45
4291,31.7592,35.1932,1,JET_58-425-73_D_CL_MX_3.9_27622_1.mat,46
2698,31.7592,35.1932,1,JET_58-425-73_N_CL_MX_3.9_26193_4.mat,91
5752,31.7592,35.1932,1,JET_58_425_73_D_CL_MX_3.9_26338_12.mat,115
361,31.7592,35.1932,1,JET_58_425_73_D_CL_MX_3.9_26338_7.mat,120
1369,31.7592,35.1932,1,JET_58_425_73_D_CL_MX_3.9_26489_1.mat,123
576,31.7592,35.1932,1,JET_83-108-70_D_CL_MX_3.9_1_23508_4.mat,162
11315,31.7592,35.1932,1,JET_83-108-70_D_CL_MX_3.9_23199_6.mat,183
