"","lat","lon","direction","filename","gps_frame_pos","frameIdx","road_lin","road_quad","road_both","sign_frames_ago","sign_W","sign_H","sign_sysType","sign_signType"
"1",31.7956,35.1686,1,"JET_58-425-73_D_CL_MX_3.9_1_26619_5.mat",2156,388517,0.01228246698156,-0.00257162051275372,-0.78299886547029,22,0.580477714538574,0.502708673477173,1,149
"2",31.7956,35.1686,1,"JET_58-425-73_D_CL_UR_3.9_22811_14.mat",1976,91199,-0.0127862393856049,-0.00245454907417297,-1.23754441738129,200,-1,-1,-1,-1
"3",31.7956,35.1686,1,"JET_58-425-73_D_OC_MX_3.9_23641_2.mat",1361,411505,0.00730985943227994,-0.00275800842791795,-0.957006182521583,200,-1,-1,-1,-1
"4",31.7956,35.1686,1,"JET_58-425-73_N_CL_MX_3.9_27624_10.mat",775,30635,0.0122485996223986,-0.00332257943227887,-1.08405978046358,200,-1,-1,-1,-1
"5",31.7956,35.1686,1,"JET_58-425-73_ddL_MX_3.9_23706_0.mat",1006,40057,-0.00384193463250993,-0.00285913283005357,-1.22049182467163,34,0.257833689451218,0.352162480354309,2,239
"6",31.7956,35.1686,1,"JET_58_425_73_D_CL_MX_3.9_26354_0.mat",548,21527,0.000968797132372889,-0.00573850236833096,-2.27602500468493,200,-1,-1,-1,-1
"7",31.7956,35.1686,1,"JET_58_425_73_D_OC_MX_3.9_26349_1.mat",444,16963,-0.0279558446258306,-0.0030763316899538,-1.78964956849813,200,-1,-1,-1,-1
"8",31.7956,35.1686,1,"JET_58_425_73_D_RN_MX_3.9_26171_1.mat",1010,51437,-0.00287725953385239,-0.00304103503003716,-1.27395920269191,27,0.387309521436691,0.540472447872162,2,239
"9",31.7956,35.1686,1,"JET_58_425_73_N_RN_MX_3.9_26356_3.mat",1944,74577,0,0,0,200,-1,-1,-1,-1
"10",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_1_25155_2.mat",967,37949,-0.00912142712622875,-0.00350916292518377,-1.58609371259808,200,-1,-1,-1,-1
"11",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23378_0.mat",2189,92115,-0.0189650354906918,-0.00269715581089258,-1.45816303417087,91,0.44220295548439,0.601634800434113,2,239
"12",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23537_0.mat",574,22555,-0.00701867081224918,-0.00404934398829937,-1.76011101156473,200,-1,-1,-1,-1
